Percent_Thrombolysis_(median),Percent_Thrombolysis_(low_5%),Percent_Thrombolysis_(high_95%),Percent_Thrombolysis_(mean),Percent_Thrombolysis_(stdev),Percent_Thrombolysis_(95ci),Baseline_good_outcomes_per_1000_patients_(median),Baseline_good_outcomes_per_1000_patients_(low_5%),Baseline_good_outcomes_per_1000_patients_(high_95%),Baseline_good_outcomes_per_1000_patients_(mean),Baseline_good_outcomes_per_1000_patients_(stdev),Baseline_good_outcomes_per_1000_patients_(95ci),Additional_good_outcomes_per_1000_patients_(median),Additional_good_outcomes_per_1000_patients_(low_5%),Additional_good_outcomes_per_1000_patients_(high_95%),Additional_good_outcomes_per_1000_patients_(mean),Additional_good_outcomes_per_1000_patients_(stdev),Additional_good_outcomes_per_1000_patients_(95ci),Onset_to_needle_(mean),Onset_to_puncture_(mean),stroke_team,scenario
25.031526,22.95082,27.868852,25.191677,1.490229,0.292079,336.696091,307.692308,360.718789,334.918033,16.067442,3.149161,20.176545,12.61034,27.805801,20.302648,4.811065,0.942951,147.683958,,4,onset
27.301387,24.968474,29.640605,27.282472,1.536769,0.301201,336.065574,316.393443,360.655738,337.150063,14.045163,2.752801,20.176545,13.871375,29.003783,21.248424,5.003771,0.980721,148.309122,,4,onset_benchmark
14.249685,12.351828,15.800757,14.224464,1.159365,0.227231,335.435057,308.89029,360.718789,335.19546,16.235117,3.182025,11.349306,6.242119,17.654477,11.47541,3.604819,0.706532,133.155661,,4,speed
15.762926,13.114754,17.906683,15.607818,1.301632,0.255115,336.065574,311.286255,358.196721,335.372005,13.655322,2.676394,12.61034,6.30517,21.437579,13.001261,4.236543,0.830347,133.086404,,4,speed_benchmark
26.166456,24.457755,28.625473,26.196721,1.229512,0.24098,335.435057,310.025221,362.042875,334.691047,17.006703,3.333253,22.068096,15.069357,30.327869,22.194199,4.597663,0.901125,133.876819,,4,speed_onset
28.499369,25.725095,30.907945,28.403531,1.655299,0.324433,334.174023,312.547289,362.042875,334.691047,16.721915,3.277435,23.959647,15.132409,34.047919,24.199243,5.488517,1.07573,134.470981,,4,speed_onset_benchmark
7.462687,4.850746,10.074627,7.58209,1.48865,0.29177,341.41791,294.776119,373.134328,337.761194,23.939181,4.691993,3.731343,0.0,11.380597,5.410448,4.052062,0.79419,165.821296,,5,base
11.940299,9.328358,14.570896,11.787313,1.745404,0.342093,341.41791,291.044776,373.134328,338.992537,25.275923,4.95399,7.462687,0.0,18.656716,7.798507,5.144532,1.00831,166.57894,,5,benchmark
10.447761,8.190299,13.432836,10.570896,1.68302,0.329866,337.686567,305.970149,380.783582,339.179104,24.347053,4.771935,7.462687,0.0,18.656716,8.059701,5.50441,1.078845,164.352558,,5,onset
16.791045,12.294776,20.149254,16.585821,2.442131,0.478649,339.552239,302.238806,373.320896,338.80597,23.19031,4.545217,11.19403,3.544776,22.38806,12.238806,7.037487,1.379322,165.67727,,5,onset_benchmark
7.835821,5.223881,10.093284,7.798507,1.548495,0.303499,339.552239,302.052239,377.052239,340.746269,25.632317,5.023842,7.462687,0.0,14.925373,6.716418,5.329952,1.044651,148.609386,,5,speed
12.126866,8.58209,14.925373,11.929104,1.959753,0.384104,337.686567,290.858209,376.865672,335.186567,27.619248,5.413273,7.462687,0.0,22.38806,9.925373,6.189892,1.213196,146.609431,,5,speed_benchmark
10.074627,7.462687,12.686567,10.25,1.602021,0.31399,339.552239,291.044776,377.052239,337.5,26.572469,5.208108,7.462687,0.0,18.843284,8.171642,6.086214,1.192876,149.024742,,5,speed_onset
16.41791,13.414179,20.149254,16.619403,2.171471,0.4256,341.41791,305.970149,377.425373,341.044776,24.338387,4.770236,13.059701,3.731343,26.119403,13.544776,6.928227,1.357908,147.525722,,5,speed_onset_benchmark
